City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
395,Kirkenes,NO,39.2,light rain,61.5996,5.0328,Kinn Hotell Florø
397,Muros,ES,43.0,overcast clouds,38.2756,-3.6153,NH La Perdiz
398,Kralendijk,BQ,82.4,scattered clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
400,Los Llanos De Aridane,ES,43.0,overcast clouds,38.2756,-3.6153,NH La Perdiz
401,Port Hardy,CA,37.0,broken clouds,47.6666,-52.7314,Gallows Cove
406,Buchanan,LR,89.6,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
409,Kapuskasing,CA,37.0,broken clouds,47.6666,-52.7314,Gallows Cove
410,Madimba,TZ,63.01,overcast clouds,-7.5167,31.05,Manyovu Lodge
412,San Patricio,CL,63.88,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
415,Issenye,TZ,63.01,overcast clouds,-7.5167,31.05,Manyovu Lodge
417,Roald,NO,39.2,light rain,61.5996,5.0328,Kinn Hotell Florø
418,Lebu,CL,59.0,moderate rain,-45.5752,-72.0662,Diego De Almagro Coyhaique
419,Lazaro Cardenas,CL,63.88,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
420,Victoria,HK,55.0,overcast clouds,22.2855,114.1577,Mini Hotel Central
422,Hobyo,SO,80.55,clear sky,4.1213,43.8894,Banjanay Hotel
425,Beausejour,CA,37.0,broken clouds,47.6666,-52.7314,Gallows Cove
426,General Pico,AR,57.2,few clouds,-54.8,-68.3,Albatros Hotel
429,Khandbari,NP,39.58,broken clouds,29.2747,82.1838,"अन्नी घर, जुम्ला - Anni Ghar"
430,Jambi,ID,80.6,light rain,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
431,Santa Fe,AR,57.2,few clouds,-54.8,-68.3,Albatros Hotel
432,Riyadh,SA,60.8,scattered clouds,26.326,43.975,Mövenpick Hotel Qassim
433,Waipawa,NZ,51.01,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
435,Lompoc,US,64.4,clear sky,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
436,Contamana,PE,78.89,scattered clouds,-5.5569,-80.8222,Hospedaje Costa Bella
437,Songea,TZ,63.01,overcast clouds,-7.5167,31.05,Manyovu Lodge
441,Ajdabiya,IL,68.0,scattered clouds,31.61,34.7642,OlusHome
442,Tabiauea,KI,81.43,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
443,Kaabong,UG,71.94,overcast clouds,-0.0772,31.4567,Rainbow Motel ( Sembabule )
445,General Roca,AR,57.2,few clouds,-54.8,-68.3,Albatros Hotel
446,Honiara,SB,83.5,overcast clouds,-8.103,156.8419,Imagination Island
450,Fairbanks,US,64.4,clear sky,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
452,Atar,MR,77.85,scattered clouds,20.5169,-13.0499,Oumou Elghoura
454,Tahta,EG,71.6,clear sky,26.7693,31.5021,El Salam Hotel
455,Amahai,ID,80.6,light rain,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
456,Moussoro,SA,59.0,scattered clouds,18.3851,42.4509,مقبرة ال مجمل
458,Ambon,ID,80.6,light rain,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
460,Mapimi,CL,63.88,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
462,Acapulco,CL,63.88,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
465,Buin,PG,82.18,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
468,Koungou,YT,78.8,light rain,-12.7336,45.2042,Villa Netibor
469,Senanga,ZM,72.7,overcast clouds,-9.3451,28.734,KD Travellers Home
470,Santa Marta,CO,85.75,overcast clouds,11.7139,-72.266,Hotel Uribia
472,Uyuni,SV,80.6,clear sky,13.4833,-88.1833,Excalibur
473,Mandera,KE,87.46,clear sky,3.9366,41.867,Kornesh Hotel and Lodging
474,Viedma,AR,57.2,few clouds,-54.8,-68.3,Albatros Hotel
476,Oga,JP,49.3,broken clouds,28.3667,129.4833,奄美ポートタワーホテル
477,Palmer,US,64.4,clear sky,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
478,Mayo,CA,37.0,broken clouds,47.6666,-52.7314,Gallows Cove
481,Daoukro,CI,86.0,few clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
483,Anderson,US,64.4,clear sky,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
484,Wainwright,CA,37.0,broken clouds,47.6666,-52.7314,Gallows Cove
485,Puerto Del Rosario,ES,43.0,overcast clouds,38.2756,-3.6153,NH La Perdiz
486,Inhambane,MZ,86.0,scattered clouds,-23.865,35.3833,Oceano
488,Halifax,CA,37.0,broken clouds,47.6666,-52.7314,Gallows Cove
489,Vasai,IN,65.53,broken clouds,27.9167,96.1667,Circuit House
492,Marcona,PE,78.89,scattered clouds,-5.5569,-80.8222,Hospedaje Costa Bella
493,Beliator,IN,65.53,broken clouds,27.9167,96.1667,Circuit House
