City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
147,Laguna,US,2021-01-09 16:31:29,38.421,-121.4238,41.0,86,1,7.09
148,Baghdad,IQ,2021-01-09 16:30:19,33.3406,44.4009,53.6,43,0,4.61
149,Dunmore Town,BS,2021-01-09 16:34:19,25.5,-76.65,67.21,70,62,17.96
150,Quepos,CR,2021-01-09 16:34:19,9.4236,-84.1652,77.0,60,20,16.11
151,Lasa,IT,2021-01-09 16:34:20,46.6166,10.7002,26.01,62,0,5.75
152,Mount Gambier,AU,2021-01-09 16:34:20,-37.8333,140.7667,53.6,94,86,1.14
153,Quatre Cocos,MU,2021-01-09 16:34:20,-20.2078,57.7625,79.0,94,40,6.91
154,Palamuse,EE,2021-01-09 16:34:20,58.6843,26.584,14.0,85,90,4.61
155,Williams Lake,CA,2021-01-09 16:34:20,52.1415,-122.1445,23.0,93,90,9.22
156,Pouembout,NC,2021-01-09 16:34:20,-21.1333,164.9,78.35,83,83,4.41
157,Staryy Nadym,RU,2021-01-09 16:34:20,65.6118,72.6842,-8.07,91,87,4.34
158,Vung Tau,VN,2021-01-09 16:32:02,10.346,107.0843,75.24,77,19,17.2
159,Agirish,RU,2021-01-09 16:34:20,61.9247,63.0231,-10.35,91,96,4.16
160,Port Lincoln,AU,2021-01-09 16:34:20,-34.7333,135.8667,67.91,68,26,9.6
161,Waddan,LY,2021-01-09 16:34:20,29.1614,16.139,75.94,19,2,7.9
162,Rock Sound,BS,2021-01-09 16:34:20,24.9,-76.2,69.39,72,70,17.4
163,Carnarvon,AU,2021-01-09 16:34:20,-24.8667,113.6333,82.4,69,30,18.41
164,Napanee,CA,2021-01-09 16:34:20,44.2501,-76.9494,27.0,54,75,6.91
165,Manzanillo,CU,2021-01-09 16:34:20,20.3433,-77.1167,80.44,57,1,3.96
166,Urumqi,CN,2021-01-09 16:34:20,43.801,87.6005,-2.2,84,84,2.24
167,Nanortalik,GL,2021-01-09 16:34:21,60.1432,-45.2371,32.14,92,100,6.02
168,Sanchor,IN,2021-01-09 16:34:21,24.7553,71.7722,62.51,54,0,11.92
169,Stokmarknes,NO,2021-01-09 16:34:21,68.5646,14.9108,28.99,64,100,3.0
170,Coquimbo,CL,2021-01-09 16:34:21,-29.9533,-71.3436,64.4,68,20,9.22
171,Haines Junction,CA,2021-01-09 16:34:21,60.7522,-137.5108,28.4,69,100,5.75
172,Sao Jose De Ribamar,BR,2021-01-09 16:34:21,-2.5619,-44.0542,89.6,58,75,17.27
173,Esperance,AU,2021-01-09 16:34:21,-33.8667,121.9,77.0,38,50,13.8
174,Aklavik,CA,2021-01-09 16:34:21,68.2191,-135.0107,6.8,85,90,4.32
175,Pangnirtung,CA,2021-01-09 16:34:21,66.1451,-65.7125,6.8,61,90,3.44
176,Mahon,ES,2021-01-09 16:32:44,39.8885,4.2658,59.0,88,75,5.75
177,Hennenman,ZA,2021-01-09 16:34:21,-27.9765,27.0242,78.66,42,46,4.18
178,Mar Del Plata,AR,2021-01-09 16:30:20,-38.0023,-57.5575,77.0,44,0,11.5
179,Barrow,US,2021-01-09 16:30:01,71.2906,-156.7887,-4.0,77,90,4.61
180,Pevek,RU,2021-01-09 16:34:21,69.7008,170.3133,-22.88,88,11,1.83
181,Sao Filipe,CV,2021-01-09 16:34:22,14.8961,-24.4956,74.07,71,2,16.15
182,Saint George,US,2021-01-09 16:34:22,37.1041,-113.5841,44.01,44,1,10.36
183,Provideniya,RU,2021-01-09 16:34:22,64.3833,-173.3,-7.37,84,0,6.91
184,Bonito,BR,2021-01-09 16:34:16,-21.1211,-56.4819,94.35,42,21,7.09
