City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
239,Ornskoldsvik,SE,63.2909,18.7153,26.6,100,90,4.61,overcast clouds
240,Garowe,SO,4.1213,43.8894,80.55,28,0,11.07,clear sky
241,Itoman,JP,28.3667,129.4833,49.3,73,72,17.72,broken clouds
242,Lucea,JM,18.451,-78.1736,81.0,74,20,8.05,few clouds
243,Mys Shmidta,RU,59.7035,30.7861,10.99,85,0,4.47,clear sky
244,Esperance,US,42.6001,-73.9662,26.01,61,100,3.0,overcast clouds
245,Nola,IT,40.922,14.5329,50.0,81,75,11.5,broken clouds
246,Tallahassee,US,22.0752,-159.319,64.4,94,1,8.05,clear sky
247,Khonuu,RU,59.7035,30.7861,10.99,85,0,4.47,clear sky
248,Meulaboh,ID,-0.0333,109.3333,80.6,89,75,4.61,light rain
249,Qasigiannguit,GL,77.484,-69.3632,-0.87,77,49,4.34,scattered clouds
250,Talara,PE,-5.5569,-80.8222,78.89,57,25,7.31,scattered clouds
251,Geilo,NO,61.5996,5.0328,39.2,81,75,41.43,light rain
252,Antalya,TR,36.7741,30.7178,62.01,94,75,6.91,broken clouds
253,Airai,TL,-8.9266,125.4092,63.03,100,100,1.1,overcast clouds
254,Cabo San Lucas,CL,-35.3333,-72.4167,63.88,51,0,16.69,clear sky
255,Gasa,PS,31.5,34.4667,68.0,57,1,5.53,clear sky
256,Grand-Santi,GF,4.9333,-52.3333,77.0,100,75,11.5,broken clouds
257,Klaksvik,FO,62.2266,-6.589,32.0,59,75,31.07,light rain
258,San Luis,AR,-54.8,-68.3,57.2,38,20,4.61,few clouds
259,Geraldton,US,42.6001,-73.9662,26.01,61,100,3.0,overcast clouds
260,Codrington,AU,-38.2667,141.9667,57.13,78,98,4.97,heavy intensity rain
261,Santa Cruz,BR,-9.1667,-60.6333,96.62,43,41,1.03,scattered clouds
262,Kruisfontein,ZA,-33.5906,26.891,80.01,79,0,5.01,clear sky
263,Rio Gallegos,AR,-54.8,-68.3,57.2,38,20,4.61,few clouds
264,Nome,US,22.0752,-159.319,64.4,94,1,8.05,clear sky
265,Port Macquarie,US,42.6001,-73.9662,26.01,61,100,3.0,overcast clouds
266,Sopot,PL,52.9855,22.2432,34.0,85,100,7.0,light snow
267,Hervey Bay,US,42.6001,-73.9662,26.01,61,100,3.0,overcast clouds
268,Bereda,SO,4.1213,43.8894,80.55,28,0,11.07,clear sky
269,Beringovskiy,RU,59.7035,30.7861,10.99,85,0,4.47,clear sky
270,Lata,SB,-8.103,156.8419,83.5,73,96,8.03,overcast clouds
271,La Sarre,CA,47.6666,-52.7314,37.0,87,75,26.46,broken clouds
272,Morales,CO,11.7139,-72.266,85.75,60,100,20.65,overcast clouds
273,Sri Aman,MY,4.75,115.0,75.2,94,90,2.3,moderate rain
274,Qaqortoq,GL,77.484,-69.3632,-0.87,77,49,4.34,scattered clouds
275,Port Lincoln,US,42.6001,-73.9662,26.01,61,100,3.0,overcast clouds
276,Kavaratti,IN,27.9167,96.1667,65.53,35,55,3.09,broken clouds
277,Imeni Poliny Osipenko,RU,59.7035,30.7861,10.99,85,0,4.47,clear sky
278,Nuuk,GL,77.484,-69.3632,-0.87,77,49,4.34,scattered clouds
279,Sinop,TR,36.7741,30.7178,62.01,94,75,6.91,broken clouds
280,Ust-Tsilma,RU,59.7035,30.7861,10.99,85,0,4.47,clear sky
281,Komsomolskiy,RU,59.7035,30.7861,10.99,85,0,4.47,clear sky
282,Goderich,CA,43.7501,-81.7165,28.4,69,100,3.44,overcast clouds
283,Bathsheba,BB,13.2167,-59.5167,84.2,74,40,20.71,scattered clouds
284,Srednekolymsk,RU,59.7035,30.7861,10.99,85,0,4.47,clear sky
285,Sabang,ID,-0.0333,109.3333,80.6,89,75,4.61,light rain
286,Tautira,PF,-23.1203,-134.9692,77.68,77,100,12.39,overcast clouds
287,Petropavlovsk-Kamchatskiy,RU,59.7035,30.7861,10.99,85,0,4.47,clear sky
288,Maniitsoq,GL,77.484,-69.3632,-0.87,77,49,4.34,scattered clouds
289,Saint-Chamond,FR,45.4737,4.5254,33.01,80,90,2.3,overcast clouds
290,Necochea,AR,-54.8,-68.3,57.2,38,20,4.61,few clouds
291,Irimbo,CL,-35.3333,-72.4167,63.88,51,0,16.69,clear sky
292,Ordubad,AZ,39.4072,45.5739,21.2,93,90,0.76,mist
293,Tahoua,NE,18.6853,12.9164,81.75,15,0,2.21,clear sky
294,Longlac,CA,47.6666,-52.7314,37.0,87,75,26.46,broken clouds
295,Ayios Matthaios,IT,45.653,8.6336,39.2,56,0,4.61,clear sky
296,Banda Aceh,ID,-0.0333,109.3333,80.6,89,75,4.61,light rain
297,Iqaluit,CA,47.6666,-52.7314,37.0,87,75,26.46,broken clouds
298,Esqueda,CL,-35.3333,-72.4167,63.88,51,0,16.69,clear sky
299,Kununurra,US,42.6001,-73.9662,26.01,61,100,3.0,overcast clouds
300,Pevek,RU,59.7035,30.7861,10.99,85,0,4.47,clear sky
301,Bang Racham,TH,14.892,100.3173,78.01,48,14,8.05,moderate rain
302,Manggar,ID,-0.0333,109.3333,80.6,89,75,4.61,light rain
303,Soe,ID,-0.0333,109.3333,80.6,89,75,4.61,light rain
304,Chukhloma,RU,59.7035,30.7861,10.99,85,0,4.47,clear sky
305,Port Arthur,US,22.0752,-159.319,64.4,94,1,8.05,clear sky
306,Geraldton,CA,47.6666,-52.7314,37.0,87,75,26.46,broken clouds
307,Provideniya,RU,59.7035,30.7861,10.99,85,0,4.47,clear sky
308,Snezhnogorsk,RU,59.7035,30.7861,10.99,85,0,4.47,clear sky
309,Arlit,NE,18.6853,12.9164,81.75,15,0,2.21,clear sky
310,Shishou,CN,30.634,117.8517,30.45,78,100,2.24,overcast clouds
311,Hue,VN,16.4667,107.6,57.2,94,90,5.75,mist
312,Sistranda,NO,61.5996,5.0328,39.2,81,75,41.43,light rain
313,Rafaela,AR,-54.8,-68.3,57.2,38,20,4.61,few clouds
314,Mogadishu,SO,4.1213,43.8894,80.55,28,0,11.07,clear sky
315,Viesca,CL,-35.3333,-72.4167,63.88,51,0,16.69,clear sky
316,Port Moresby,PG,-2.5744,150.7967,82.18,78,99,10.89,overcast clouds
317,Sao Joao Da Barra,BR,-9.1667,-60.6333,96.62,43,41,1.03,scattered clouds
318,Ginda,IN,30.6945,78.4932,44.35,47,0,7.29,clear sky
319,Kerman,AZ,38.5,48.6667,42.8,87,40,5.75,mist
320,Narasannapeta,IN,27.9167,96.1667,65.53,35,55,3.09,broken clouds
321,Sao Paulo De Olivenca,BR,-9.1667,-60.6333,96.62,43,41,1.03,scattered clouds
322,La Carolina,ES,38.2756,-3.6153,43.0,69,99,5.01,overcast clouds
323,Aguia Branca,BR,-9.1667,-60.6333,96.62,43,41,1.03,scattered clouds
324,Santa Cruz,BO,-17.8,-63.1667,87.8,62,75,23.02,broken clouds
325,Jacqueville,CI,5.2052,-4.4146,86.0,74,20,13.8,few clouds
326,Poopo,SV,13.4833,-88.1833,80.6,88,0,3.44,clear sky
327,Sembabule,UG,-0.0772,31.4567,71.94,62,99,2.21,overcast clouds
328,Ribeira Grande,PT,39.05,-27.9833,55.99,59,36,8.84,scattered clouds
329,Susa,AZ,39.4072,45.5739,21.2,93,90,0.76,mist
330,Fukue,JP,28.3667,129.4833,49.3,73,72,17.72,broken clouds
331,Sao Filipe,PT,32.6667,-17.1,57.0,74,53,3.0,light rain
332,Nsoko,SZ,-27.0333,31.95,83.07,56,5,7.29,clear sky
333,Varkaus,FI,66.7131,27.4306,2.91,94,75,3.89,broken clouds
334,Russell,NZ,-46.6,168.3333,51.01,89,97,4.0,overcast clouds
335,Kungurtug,RU,59.7035,30.7861,10.99,85,0,4.47,clear sky
336,Sulphur,US,22.0752,-159.319,64.4,94,1,8.05,clear sky
337,Mondlo,ZA,-33.5906,26.891,80.01,79,0,5.01,clear sky
338,Hualmay,PE,-5.5569,-80.8222,78.89,57,25,7.31,scattered clouds
339,Thompson,CA,47.6666,-52.7314,37.0,87,75,26.46,broken clouds
340,Isabela,US,22.0752,-159.319,64.4,94,1,8.05,clear sky
341,Tirumullaivasal,IN,27.9167,96.1667,65.53,35,55,3.09,broken clouds
342,Mahadday Weyne,SO,4.1213,43.8894,80.55,28,0,11.07,clear sky
343,Mahibadhoo,MV,-0.6,73.0833,81.57,74,87,10.67,overcast clouds
344,Nha Trang,VN,16.4667,107.6,57.2,94,90,5.75,mist
345,Belaya Gora,RU,59.7035,30.7861,10.99,85,0,4.47,clear sky
346,Adre,SA,18.3851,42.4509,59.0,77,40,9.22,scattered clouds
